id_studente,pertinence_human,coherence_human,originality_human,feasibility_human,total_human,coherence_claude_1,coherence_deepseekseek_1,coherence_gemini_1,coherence_mistral_1,coherence_gpt4_1,originality_claude_1,originality_deepseekseek_1,originality_gemini_1,originality_mistral_1,originality_gpt4_1,pertinence_claude_1,pertinence_deepseekseek_1,pertinence_gemini_1,pertinence_mistral_1,pertinence_gpt4_1,feasibility_claude_1,feasibility_deepseekseek_1,feasibility_gemini_1,feasibility_mistral_1,feasibility_gpt4_1,total_claude_1,total_deepseekseek_1,total_gemini_1,total_mistral_1,total_gpt4_1,coherence_claude_2,coherence_deepseekseek_2,coherence_gemini_2,coherence_gpt4_2,coherence_mistral_2,originality_claude_2,originality_deepseekseek_2,originality_gemini_2,originality_gpt4_2,originality_mistral_2,pertinence_claude_2,pertinence_deepseekseek_2,pertinence_gemini_2,pertinence_gpt4_2,pertinence_mistral_2,feasibility_claude_2,feasibility_deepseekseek_2,feasibility_gemini_2,feasibility_gpt4_2,feasibility_mistral_2,total_claude_2,total_deepseekseek_2,total_gemini_2,total_gpt4_2,total_mistral_2,coherence_claude_3,coherence_deepseekseek_3,coherence_gemini_3,coherence_gpt4_3,coherence_mistral_3,originality_claude_3,originality_deepseekseek_3,originality_gemini_3,originality_gpt4_3,originality_mistral_3,pertinence_claude_3,pertinence_deepseekseek_3,pertinence_gemini_3,pertinence_gpt4_3,pertinence_mistral_3,feasibility_claude_3,feasibility_deepseekseek_3,feasibility_gemini_3,feasibility_gpt4_3,feasibility_mistral_3,total_claude_3,total_deepseekseek_3,total_gemini_3,total_gpt4_3,total_mistral_3
5411786,5,4,6,4,19,10,9,10,9,10,8,7,8,7,8,6,6,6,6,6,6,5,6,5,6,30,27,30,27,30,9,9,10,9,8,7,7,8,7,7,6,6,6,6,5,6,5,6,6,5,28,27,30,28,25,10,9,10,9,8,7,7,7,7,7,6,6,6,6,5,6,5,6,6,5,29,27,29,28,25
5411749,5,7,7,5,24,9,9,9,8,9,7,7,7,6,7,6,6,6,5,6,6,5,6,5,5,28,27,28,24,27,10,9,10,9,9,7,7,6,7,7,6,6,6,6,6,6,5,6,5,5,29,27,28,27,27,10,9,10,9,9,7,7,8,7,7,6,6,6,6,6,6,5,6,5,5,29,27,30,27,27
5407636,6,8,8,5,27,10,9,10,9,9,8,8,8,7,7,6,6,6,6,6,6,5,6,5,6,30,28,30,27,28,10,9,10,9,8,7,7,8,7,7,6,6,6,6,5,6,5,6,5,5,29,27,30,27,25,9,9,10,9,9,7,7,8,7,7,6,6,6,6,6,6,5,6,5,5,28,27,30,27,27
5407163,5,6,8,4,23,10,9,10,8,9,8,7,8,7,8,6,6,6,5,6,6,5,6,5,5,30,27,30,25,28,10,9,10,9,8,8,7,7,7,7,6,6,6,6,5,6,5,6,5,5,30,27,29,27,25,10,9,10,9,8,8,7,7,7,6,6,6,6,6,5,6,5,6,5,5,30,27,29,27,24
5405895,5,9,7,6,27,9,9,10,9,9,7,7,7,7,7,6,6,6,5,6,6,5,6,5,5,28,27,29,26,27,10,9,10,9,9,7,7,7,7,7,6,6,6,6,5,6,5,6,5,5,29,27,29,27,26,10,9,10,9,9,7,7,7,7,7,6,6,6,6,5,6,5,6,5,5,29,27,29,27,26
5411610,6,9,7,6,28,10,8,8,8,9,7,5,7,7,7,6,5,6,5,6,6,5,6,5,5,29,23,27,25,27,10,9,10,9,8,8,7,7,7,7,6,6,6,6,5,6,5,6,5,5,30,27,29,27,25,10,9,10,9,8,8,7,7,7,7,6,6,6,6,5,6,5,6,5,5,30,27,29,27,25
5407072,5,9,7,5,26,10,9,10,9,9,8,7,8,7,7,6,6,6,6,6,6,5,6,5,5,30,27,30,27,27,9,9,10,10,8,7,7,7,7,6,6,6,6,6,5,6,5,6,6,5,28,27,29,29,24,9,9,10,10,8,7,7,7,7,6,6,6,6,6,5,6,5,6,6,5,28,27,29,29,24
5411737,5,6,6,3,20,10,8,10,9,9,8,6,7,7,7,6,5,6,5,6,6,4,6,5,5,30,23,29,26,27,10,9,10,9,8,8,7,7,7,6,6,6,6,6,5,6,5,6,5,5,30,27,29,27,24,10,9,10,9,8,8,7,8,7,6,6,6,6,6,5,6,5,6,5,5,30,27,30,27,24
5411802,5,7,7,5,24,10,9,10,9,9,8,7,8,7,7,6,6,6,5,6,6,5,6,5,5,30,27,30,26,27,10,9,10,9,9,7,7,8,7,7,6,6,6,6,6,6,5,6,6,5,29,27,30,28,27,10,9,10,9,9,7,7,7,7,7,6,6,6,6,6,6,5,6,5,5,29,27,29,27,27
5407205,6,8,7,6,27,9,9,9,8,9,7,7,7,6,7,6,6,6,5,6,6,5,6,5,5,28,27,28,24,27,10,9,8,9,8,8,7,6,7,6,6,6,6,6,5,6,5,6,5,5,30,27,26,27,24,10,9,9,9,8,7,7,6,7,6,6,6,6,6,5,6,5,6,5,5,29,27,27,27,24
5412766,4,7,7,4,22,10,9,9,9,9,7,7,6,6,7,6,6,6,5,6,6,5,6,5,6,29,27,27,25,28,10,9,10,10,9,8,7,7,8,7,6,6,6,6,6,6,5,6,6,5,30,27,29,30,27,10,9,10,10,9,8,7,7,8,7,6,6,6,6,6,6,5,6,6,5,30,27,29,30,27
5411634,6,9,8,5,28,10,9,9,8,9,8,7,7,7,7,6,6,6,5,6,6,5,6,5,5,30,27,28,25,27,10,9,10,9,9,8,7,8,7,7,6,6,6,6,5,6,5,6,5,5,30,27,30,27,26,10,9,10,10,9,8,7,7,8,7,6,6,6,6,6,6,5,6,6,5,30,27,29,30,27
5411603,5,8,7,4,24,10,9,10,9,9,8,7,8,7,7,6,6,6,5,6,6,5,6,5,5,30,27,30,26,27,9,9,10,9,9,7,7,7,7,7,6,6,6,6,5,6,5,6,5,5,28,27,29,27,26,9,9,10,9,9,7,7,7,7,7,6,6,6,6,6,6,5,6,5,5,28,27,29,27,27
5411565,5,8,7,5,25,10,9,10,9,9,7,7,6,7,7,6,6,6,6,6,6,5,6,5,5,29,27,28,27,27,9,9,10,9,8,8,7,7,7,7,6,6,6,6,5,5,5,6,5,5,28,27,29,27,25,9,9,9,9,8,8,7,7,8,7,6,6,6,6,5,6,5,6,5,5,29,27,28,28,25
5406939,4,8,7,5,24,9,9,9,8,9,8,7,7,7,8,6,6,6,5,6,5,5,6,5,5,28,27,28,25,28,10,9,10,9,9,7,7,7,7,7,6,6,6,6,6,6,5,6,5,5,29,27,29,27,27,10,9,10,9,9,7,7,7,7,7,6,6,6,6,5,6,5,6,5,5,29,27,29,27,26
5406903,6,9,7,6,28,10,9,10,9,10,7,7,7,7,8,6,6,6,6,6,6,5,6,5,6,29,27,29,27,30,10,9,10,9,9,8,7,7,7,7,6,6,6,6,6,6,5,6,5,5,30,27,29,27,27,10,9,10,9,9,8,7,7,7,7,6,6,6,6,5,6,5,6,5,5,30,27,29,27,26
5406702,6,8,7,6,27,10,8,10,8,10,7,6,6,6,7,6,5,6,5,6,6,5,6,5,6,29,24,28,24,29,9,9,10,9,8,8,7,7,8,7,6,6,6,6,5,6,5,6,5,5,29,27,29,28,25,9,9,10,9,8,8,7,7,8,7,6,6,6,6,5,6,5,6,5,5,29,27,29,28,25
5406752,6,9,6,6,27,10,9,10,8,9,7,7,7,7,7,6,6,6,5,6,6,5,6,5,5,29,27,29,25,27,10,9,10,10,9,8,7,7,8,7,6,6,6,6,6,6,5,6,6,5,30,27,29,30,27,10,9,10,10,9,8,7,7,7,7,6,6,6,6,6,6,5,6,6,5,30,27,29,29,27
5410383,5,7,6,5,23,9,9,10,9,9,7,7,6,7,7,6,6,6,6,6,6,6,6,5,6,28,28,28,27,28,10,9,10,9,9,8,7,8,7,7,6,6,6,6,5,6,5,6,5,5,30,27,30,27,26,10,9,10,9,9,8,7,8,7,7,6,6,6,6,5,6,5,6,5,5,30,27,30,27,26
5406959,6,8,6,6,26,10,9,10,9,9,7,7,6,7,7,6,6,6,5,6,6,5,6,5,6,29,27,28,26,28,10,9,10,9,9,7,7,5,7,6,6,6,6,6,5,6,5,6,6,5,29,27,27,28,25,10,9,10,9,8,7,7,7,7,6,6,6,6,6,5,6,5,6,6,5,29,27,29,28,24
5411622,6,8,8,5,27,10,9,10,9,10,8,7,8,7,8,6,6,6,5,6,6,5,6,5,6,30,27,30,26,30,9,9,10,9,8,7,7,8,7,6,6,6,6,6,5,6,5,6,5,5,28,27,30,27,24,9,9,10,9,8,7,7,7,7,6,6,6,6,6,5,6,5,6,5,5,28,27,29,27,24
